idx,class,conversation
h_000,일반 대화,"팀장님 오늘 점심 뭐 드실 거예요? 저번에 갔던 그 순두부집이 맛있었는데
순두부집 좋지 거기 김치찌개도 괜찮았어 같이 가자
오 좋아요! 저도 거기 또 가고 싶었어요 ㅎㅎ 다른 팀원들한테도 물어볼까요?
그래 다 같이 가면 좋지 12시에 로비에서 만나자"
h_001,일반 대화,"과장님 이번 프로젝트 발표 자료 최종본 다 만들었습니다 확인 부탁드려요
오 벌써 다 만들었어? 빠르네 수고했어 한번 같이 검토해볼까?
네! 피드백 주시면 바로 수정하겠습니다 회의실 3층 소회의실 비어있어요
좋아 거기서 보자 커피 한잔 하면서 천천히 보자고"
h_002,일반 대화,"아직도 야근하는 거야? 무리하지 마 건강이 먼저야
아 네 부장님 감사합니다 보고서 마무리만 하면 갈 수 있어요
내일 오전까지 하면 되는 거면 굳이 오늘 밤새울 필요 없어 집에 가서 쉬어
정말요? 감사합니다 부장님 그럼 나머지는 내일 아침 일찍 와서 마무리하겠습니다"
h_003,일반 대화,"오늘 오후 회의 시간 변경됐다는 거 봤어? 3시에서 4시로 바뀌었대
아 진짜요? 공지 못 봤는데 알려줘서 고마워 준비할 시간 좀 생겼다
응 팀장님이 아까 메신저로 공지하셨어 나도 방금 봤어
오케이 그럼 4시까지 자료 좀 더 보강해야겠다 고마워 진짜"
h_004,일반 대화,"신입사원 김민수 씨 요즘 회사 적응은 잘 되고 있어요? 힘든 거 없어?
네 과장님 선배들이 진짜 많이 도와주셔서 잘 적응하고 있습니다 ㅎㅎ
다행이다 모르는 거 있으면 언제든지 편하게 물어봐 부담 갖지 말고
감사합니다 과장님! 아직 배울 게 많지만 열심히 하겠습니다"
h_005,일반 대화,"오늘 저녁에 팀 회식 있는 거 알지? 참석 가능해?
네 팀장님 저는 가능합니다! 어디로 가는 거예요? 메뉴가 뭐예요?
삼겹살집 어때? 회사 앞에 새로 오픈한 데 있는데 분위기 좋다더라
삼겹살 완전 좋아요 ㅋㅋ 기대됩니다 몇 시에 출발해요?"
h_006,일반 대화,"이번 분기 우리 팀 실적 꽤 잘 나왔다며? 진짜 대단하다
네 팀장님 팀원들 다 열심히 해줘서 좋은 결과가 나온 것 같아요
다음 달에 전사 포상이 있을 거야 우리 팀도 대상에 들어갈 수 있어 기대해
와 정말요? 다들 좋아하겠다 이번 성과를 바탕으로 다음 분기도 잘 해보겠습니다"
h_007,일반 대화,"과장님 내일 개인 사정이 있어서 연차 쓰려고 하는데 괜찮을까요?
내일 특별한 팀 일정 없으니까 편하게 쓰고 와 별일 있는 거야?
아뇨 그냥 집안일이 좀 있어서요 감사합니다 다녀와서 열심히 하겠습니다
그래 푹 쉬고 와 긴급한 거 있으면 내가 처리해놓을게 걱정하지 마"
h_008,일반 대화,"점심시간에 산책 겸 커피 한잔 할까요 부장님? 날씨가 좋아서요
좋지 회사 뒤쪽에 새로 생긴 카페 가봤어? 인테리어가 예쁘다던데
아 거기요? 아직 안 가봤는데 리뷰가 좋더라고요 라떼가 맛있다고
그럼 거기 가보자 나도 궁금했어 바리스타가 유명한 사람이래"
h_009,일반 대화,"다음 주 발표 준비 어떻게 돼가? 도움 필요하면 말해
거의 다 됐습니다 마지막 슬라이드 디자인만 조금 손보면 될 것 같아요
좋아 혹시 리허설 한번 해볼래? 내가 피드백 줄 수 있으니까
네 감사합니다 팀장님 그러면 수요일 오후에 시간 되실까요?"
h_010,일반 대화,"이번 팀 워크숍 장소 어디가 좋을까? 의견 좀 내봐
가평 펜션 어떨까요? 서울에서 가깝고 자연 좋고 바비큐 시설도 있어요
오 좋은데 단체로 예약하면 할인 받을 수 있을 것 같은데
맞아요 20명 이상 단체 예약하면 20퍼센트 할인이래요 제가 알아볼게요"
h_011,일반 대화,"야 오늘 사무실 에어컨 왜 이렇게 추워 나만 그런 거 아니지?
그러게 ㅋㅋ 나도 반팔 입고 왔는데 후회 중이야 겉옷 가져올걸
총무팀에 온도 조절 좀 해달라고 말해볼까? 다른 사람들도 춥다고 하더라
응 내가 총무팀 이과장님한테 얘기해볼게 적정 온도로 좀 맞춰달라고"
h_012,일반 대화,"부장님 출장 잘 다녀오세요 필요한 거 있으시면 말씀해주세요
고마워 3일이면 돌아올 거야 그동안 보고서 건은 네가 좀 봐줘
네 걱정 마세요 제가 잘 처리해놓겠습니다 자료도 정리해둘게요
믿을게 그리고 거래처 김부장님 전화 오면 내가 목요일에 연락드린다고 전해줘"
h_013,일반 대화,"팀장님 아까 거래처에서 메일 회신 왔는데 확인하셨어요? 좀 급한 것 같아서요
아 아직 못 봤어 지금 바로 확인할게 미리 알려줘서 고마워
네 거래처 측에서 이번 주 내로 답변을 원하시는 것 같아요
알겠어 오늘 중으로 검토하고 답변 보낼게 혹시 관련 자료 좀 정리해줄 수 있어?"
h_014,일반 대화,"오늘 할 일 다 끝났으면 야근하지 말고 칼퇴해도 돼 무리하지 마
진짜요 과장님? 오랜만에 칼퇴라니 감격이에요 ㅋㅋ
요즘 많이 고생했잖아 오늘은 좀 쉬어 집에 가서 좋아하는 거 해
감사합니다 과장님 내일 더 열심히 하겠습니다 좋은 저녁 보내세요!"
h_015,일반 대화,"과장님 어제 보내드린 보고서 검토 피드백 부탁드려요
잘 읽었어 전체적으로 잘 썼더라 몇 군데 표현만 좀 다듬으면 완벽할 거야
알겠습니다 표시해주신 부분 바로 수정하겠습니다 오늘 중으로 가능할까요?
응 오늘 중으로 수정해서 부장님께 올리면 돼 급하지 않으니까 천천히 해"
h_016,일반 대화,"회사 근처 새로 생긴 카레집 가봤어? 어제 점심에 갔는데 대박이더라
아니 아직 못 가봤는데 맛있어? 후기 좀 알려줘
카레 소스가 진짜 깊은 맛이야 양도 푸짐하고 가성비 최고 점심 메뉴 추천
오 그럼 내일 점심에 같이 가자 다른 사람들도 데리고 가면 좋겠다"
h_017,일반 대화,"이번 달 팀 회식 날짜 잡아야 하는데 다들 언제가 좋아? 의견 좀 내봐
저는 다음 주 금요일 저녁이 좋을 것 같아요 금요일이면 다들 부담 없잖아요
좋아 금요일로 하자 장소는 내가 맛집 좀 알아볼게 메뉴 선호도 있어?
저는 아무거나 좋아요 팀장님이 고르시는 곳은 항상 맛있어요 ㅎㅎ"
h_018,일반 대화,"민수 씨 입사한 지 한 달밖에 안 됐는데 업무 파악이 빠르네 인상적이야
감사합니다 과장님 선배들이 잘 알려주셔서요 아직 배울 게 정말 많아요
겸손하기까지 ㅎㅎ 이런 자세면 금방 성장할 거야 앞으로도 잘 부탁해
저야말로 잘 부탁드립니다 열심히 해서 팀에 도움이 되겠습니다!"
h_019,일반 대화,"다음 주 월요일 전체 회의 안건 정리 좀 부탁할 수 있을까? 네가 해주면 좋겠는데
네 팀장님 이번 주 금요일까지 정리해서 메일로 보내드릴게요
고마워 참고로 이번에는 마케팅팀하고 디자인팀도 같이 참석한대
아 그러면 공동 프로젝트 관련 자료도 추가로 준비하겠습니다"
h_020,일반 대화,"추석 전에 거래처 선물 보내야 하는데 올해는 뭐가 좋을까요 부장님?
과일세트 어때? 작년에 보냈을 때 반응 되게 좋았잖아 다들 좋아하셨어
맞아요 그럼 올해도 과일세트로 정하고 총무팀에 수량 확인해볼게요
응 그렇게 해줘 예산 범위 내에서 좋은 걸로 골라 무난한 게 제일이야"
h_021,일반 대화,"팀장님 커피 타왔습니다 아메리카노 맞으시죠?
오 고마워 따뜻한 거 맞지? 설탕은 넣었어?
네 한 스푼 넣었어요 ㅎㅎ 팀장님 취향대로 맞췄습니다
완벽하네 딱 내 스타일이야 고마워 덕분에 오후에 힘내서 일할 수 있겠다"
h_022,일반 대화,"과장님 오늘 재택근무 가능할까요? 오전에 택배 받을 게 좀 있어서요
응 오늘 특별한 미팅이나 오프라인 일정 없으면 재택 해도 돼
감사합니다 메신저랑 이메일은 바로바로 확인하겠습니다
그래 집에서도 화이팅 해 필요하면 화상회의 걸어줄게"
h_023,일반 대화,"야 우리 부서 사람들끼리 축구 동호회 만들어볼까? 운동 좀 하고 싶은데
오 좋다 나도 요즘 운동 부족해서 걱정이었는데 딱 좋겠다
매주 토요일 아침에 근처 풋살장에서 한번 하면 어떨까?
좋아좋아 다른 팀원들한테도 물어보고 관심 있는 사람 모아보자"
h_024,일반 대화,"이번 인사이동 때 우리 팀은 변동 없다고 인사팀에서 공지 나왔어
다행이다 솔직히 팀워크가 이렇게 좋은데 사람이 바뀌면 아쉬울 뻔했어
맞아 우리 팀 분위기 진짜 좋잖아 회사에서도 인정해주는 것 같아
그러게 이 멤버 그대로 계속 가면서 좋은 성과 내면 좋겠다"
h_025,일반 대화,"과장님 3층 프린터 종이 다 떨어졌는데 비품 요청 어떻게 해요?
아 그래? 총무팀 시스템으로 신청하면 돼 내가 해놓을게
감사합니다 급한 인쇄물은 옆 부서 프린터 잠깐 쓸게요
응 그래 2시간이면 총무팀에서 가져다줄 거야 잠깐만 기다려"
h_026,일반 대화,"팀장님 오늘 생신이라고 들었어요 진심으로 축하드립니다!
어 고마워 ㅎㅎ 누가 알려줬어? 조용히 넘어가려고 했는데
인사팀에서 생일자 목록 공유해줘서요 ㅎㅎ 팀원들이 케이크 사왔어요
아이고 고마워라 이런 거까지 준비해줘서 감동이다 다 같이 먹자"
h_027,일반 대화,"회사에서 직무 교육비 연간 50만원까지 지원해준다는 공지 봤어?
오 진짜요? 데이터 분석 온라인 강의 들으려고 했는데 딱 좋겠다
좋은 생각이야 신청서 작성해서 나한테 제출하면 결재 올려줄게
감사합니다 팀장님! 배워서 업무에 바로 적용하겠습니다"
h_028,일반 대화,"이번 주 야근 많이 했으니까 금요일은 좀 일찍 퇴근해 충분히 쉬어야 해
와 부장님 감사합니다 ㅠㅠ 이번 주 진짜 힘들었거든요
나도 알아 고생 많았어 주말에 푹 쉬고 재충전해서 다음 주에 보자
네 정말 감사합니다 좋은 주말 보내시고 다음 주도 잘 부탁드립니다"
h_029,일반 대화,"다음 프로젝트 기획서 같이 써볼까? 네 아이디어를 반영하고 싶어서
네 과장님 같이 작업하면 제가 많이 배울 수 있을 것 같아요 영광입니다
좋아 내일 오전에 미팅룸 잡아놨으니까 아이디어 정리해와
알겠습니다 오늘 밤에 초안 좀 생각해보겠습니다!"
h_030,일반 대화,"주간 전체 회의를 격주로 바꾸는 건 어떨까? 효율성 측면에서 고민이야
저는 찬성이에요 매주 하면 준비 시간도 많이 들고 내용이 겹치기도 하고요
맞아 급한 안건은 수시 미팅으로 하면 되니까 격주가 나을 것 같아
그럼 다수결로 결정하자 다음 팀미팅에서 안건으로 올릴게"
h_031,일반 대화,"부장님 이번 승진 진심으로 축하드립니다! 정말 잘 어울리세요
고마워 앞으로도 우리 팀 잘 이끌어가자 다들 덕분이야
저희야말로 항상 많이 배웁니다 부장님 밑에서 일할 수 있어서 좋아요
그런 말 해주니 정말 고맙다 앞으로 더 좋은 팀 만들어보자"
h_032,일반 대화,"팀장님 이번 프로젝트 마감일이 좀 빠듯한데 일주일 정도 연장 가능할까요?
일주일이면 충분해? 퀄리티 떨어뜨리면서 할 필요 없으니까 솔직하게 말해
네 일주일이면 완성도 높은 결과물 낼 수 있습니다
알겠어 고객사한테 내가 직접 사정 설명하고 조율해볼게 걱정 마"
h_033,일반 대화,"사무실 자리 배치 새로 한다는데 어디 앉고 싶어? 희망 자리 조사 중이야
창가 쪽이면 좋겠어요 ㅎㅎ 자연광 들어오면 일할 맛 나잖아요
ㅋㅋ 다들 창가 원하더라 경쟁이 치열해서 추첨해야 할 것 같아
공평하게 추첨이 제일 좋겠네요 결과에 승복하겠습니다 ㅎㅎ"
h_034,일반 대화,"퇴근하고 볼링 치러 갈 사람 있어? 오랜만에 운동 좀 하고 싶은데
저요! 진짜 오랜만에 볼링 치고 싶었어요 ㅋㅋ 바로 가능합니다
나도 갈게 스트레스 좀 풀어야 해 회사 앞 볼링장으로 가자
좋아 7시쯤 출발하면 딱 좋겠다 다른 사람들도 더 불러보자"
h_035,일반 대화,"과장님 저 내일 면접관으로 참여하는데 면접 진행 팁 좀 부탁드려요
지원자 긴장 풀어주는 게 먼저야 편안한 분위기 만들어주고 경험 위주로 물어봐
감사합니다 면접 처음이라 떨리네요 ㅎㅎ
잘할 수 있어 네가 자연스럽게 대화하듯 하면 지원자도 편해할 거야 화이팅!"
