idx,class,conversation
n_0000,일반 대화,"오늘 날씨 진짜 좋다ㅋㅋ
그니까 완전 봄이야
나 산책 나갈까 하는데 같이 갈래?
오 좋아 한강 어때?
내일 일찍 일어나야 하는데 벌써 걱정이야
알람 여러 개 맞춰놔 안 일어나면 큰일이잖아
맞아 3개는 맞춰놓고 자야겠다
그래도 잠은 충분히 자야 해 건강이 먼저야
10시에 자면 7시간은 잘 수 있으니까 일찍 자자
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?"
n_0001,일반 대화,"야 주말에 뭐 해?
나 아직 계획 없어
그럼 우리 홍대 갈래? 구경도 하고
좋지 몇 시에 만나?
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?
사이다 하나 사다 줘 고마워
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨
그래야겠다 환절기에 감기 걸리면 안 되니까"
n_0002,일반 대화,"비 온다 우산 챙겨ㅠㅠ
헐 나 우산 안 가져왔는데
편의점에서 사 ㅋㅋ 투명우산
아 또 돈 나가네
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
우리 자주 만나자 이렇게 시간 보내는 거 좋아
맞아 바쁘다고 안 만나면 서먹해지잖아
다음 주에도 시간 내자 뭐라도 하면서
좋아 연락해 일정 맞춰보자
그래 기대할게 빨리 또 보자ㅋㅋ"
n_0003,일반 대화,"요즘 미세먼지 심하지 않아?
맞아 나 마스크 없으면 못 나가
공기청정기 하나 사야 하나
나는 샤오미 쓰는데 괜찮아
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
내일 일찍 일어나야 하는데 벌써 걱정이야
알람 여러 개 맞춰놔 안 일어나면 큰일이잖아
맞아 3개는 맞춰놓고 자야겠다
그래도 잠은 충분히 자야 해 건강이 먼저야"
n_0004,일반 대화,"내일 날씨 어때?
기상청 앱 보니까 맑음이래
오 진짜? 빨래 해야겠다
나도ㅋㅋ 빨래 밀렸어
오늘 같은 날은 카페에서 창밖 보면서 커피 마시고 싶다
분위기 좋은 데 알아? 새로 생긴 데 있는데
어디? 가보자 오늘 딱 좋은 날이야
역 근처에 2층짜리 카페 있어 창가 뷰가 좋아
좋아 지금 가자 자리 잡아놓으면 좋겠다
우리 자주 만나자 이렇게 시간 보내는 거 좋아
맞아 바쁘다고 안 만나면 서먹해지잖아
다음 주에도 시간 내자 뭐라도 하면서
좋아 연락해 일정 맞춰보자"
n_0005,일반 대화,"주말에 집에서 넷플릭스나 볼까 해
뭐 볼 건데?
그냥 아무거나ㅋㅋ 추천해줘
나 요즘 더 글로리 봤는데 대박이야
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야
오늘 같은 날은 카페에서 창밖 보면서 커피 마시고 싶다
분위기 좋은 데 알아? 새로 생긴 데 있는데
어디? 가보자 오늘 딱 좋은 날이야
역 근처에 2층짜리 카페 있어 창가 뷰가 좋아"
n_0006,일반 대화,"오늘 진짜 춥다 겨울 왔나 봐
그니까 패딩 꺼냈어 오늘
나도 내일 꺼내야겠다
롱패딩 추천해줘 어디 거 좋아?
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?
사이다 하나 사다 줘 고마워
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야"
n_0007,일반 대화,"아 오늘 너무 졸려ㅠㅠ
어제 몇 시에 잤어?
새벽 3시에 잤어ㅋㅋ
야 좀 일찍 자 건강 챙겨
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?
사이다 하나 사다 줘 고마워
내일 일찍 일어나야 하는데 벌써 걱정이야
알람 여러 개 맞춰놔 안 일어나면 큰일이잖아
맞아 3개는 맞춰놓고 자야겠다
그래도 잠은 충분히 자야 해 건강이 먼저야
10시에 자면 7시간은 잘 수 있으니까 일찍 자자"
n_0008,일반 대화,"일요일에 부모님 댁에 가야 해
오 효도하네ㅋㅋ
엄마가 오라고 해서ㅎㅎ
좋겠다 집밥 먹겠네
요즘 뭐 재밌는 거 없나 심심해
넷플릭스 신작 봤어? 추천해줄까
뭔데 알려줘 볼 게 없어서 고민이었어
이번에 나온 스릴러 괜찮아 몰입감 미쳤어
오늘 밤에 봐야겠다 고마워 추천 최고야ㅋㅋ
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?
사이다 하나 사다 줘 고마워"
n_0009,일반 대화,"야 오늘 저녁에 시간 있어?
응 왜?
치맥 하자 날씨도 좋은데
오 좋아 어디서 만날까
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨
그래야겠다 환절기에 감기 걸리면 안 되니까
우리 자주 만나자 이렇게 시간 보내는 거 좋아
맞아 바쁘다고 안 만나면 서먹해지잖아
다음 주에도 시간 내자 뭐라도 하면서
좋아 연락해 일정 맞춰보자
그래 기대할게 빨리 또 보자ㅋㅋ"
n_0010,일반 대화,"요즘 해가 빨리 지더라
맞아 5시만 돼도 어두워
가을이라 그런가 봐
겨울 되면 더 빨리 질 텐데ㅠ
이런 날씨에 운동하면 기분 좋은데 같이 할래?
좋아 뭐 할까 러닝? 자전거?
자전거 타자 한강 따라가면 시원할 거야
따릉이 빌려서 타면 되지 좋은 생각이야
그래 주말에 하자 아침 일찍 가면 사람도 적어
오늘 같은 날은 카페에서 창밖 보면서 커피 마시고 싶다
분위기 좋은 데 알아? 새로 생긴 데 있는데
어디? 가보자 오늘 딱 좋은 날이야"
n_0011,일반 대화,"오늘 아침에 일어나기 진짜 힘들었어
나도ㅠㅠ 이불 밖이 위험해
알람 5번은 끈 것 같아ㅋㅋ
그래서 지각했어?
아 배고프다 저녁 뭐 먹지
편의점 가서 간단하게 사올까
그래 삼각김밥이랑 컵라면 정도면 되겠다
좋아 나가면서 사올게 뭐 마실래?
사이다 하나 사다 줘 고마워
요즘 뭐 재밌는 거 없나 심심해
넷플릭스 신작 봤어? 추천해줄까
뭔데 알려줘 볼 게 없어서 고민이었어
이번에 나온 스릴러 괜찮아 몰입감 미쳤어
오늘 밤에 봐야겠다 고마워 추천 최고야ㅋㅋ"
n_0012,일반 대화,"다음 주 연휴에 뭐 할 거야?
아직 계획 없어 너는?
나 강원도 가려고
와 좋겠다 어디로?
요즘 뭐 재밌는 거 없나 심심해
넷플릭스 신작 봤어? 추천해줄까
뭔데 알려줘 볼 게 없어서 고민이었어
이번에 나온 스릴러 괜찮아 몰입감 미쳤어
오늘 밤에 봐야겠다 고마워 추천 최고야ㅋㅋ
진짜 그렇지 요즘 같은 날씨가 딱 좋아
맞아 이런 날 밖에 안 나가면 아까워
산책이라도 하자 기분 전환 되잖아
좋아 한 30분만 돌고 오자
그래 동네 한 바퀴 돌면서 편의점 들르자"
n_0013,일반 대화,"벚꽃 폈다 사진 봐
와 예쁘다 어디야?
여의도 한강공원이야
나도 이번 주 가봐야지
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨
그래야겠다 환절기에 감기 걸리면 안 되니까"
n_0014,일반 대화,"비 그쳤나?
응 지금 밖에 햇빛 나
다행이다 오후에 약속 있거든
어디 가는데?
강남에서 친구 만나
요즘 뭐 재밌는 거 없나 심심해
넷플릭스 신작 봤어? 추천해줄까
뭔데 알려줘 볼 게 없어서 고민이었어
이번에 나온 스릴러 괜찮아 몰입감 미쳤어
오늘 밤에 봐야겠다 고마워 추천 최고야ㅋㅋ
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨"
n_0015,일반 대화,"오늘 완전 습하다ㅠㅠ
맞아 에어컨 안 틀면 못 살겠어
전기세 폭탄 맞을 각인데ㅋㅋ
어쩔 수 없지 더운 거보단 낫잖아
이런 날씨에 운동하면 기분 좋은데 같이 할래?
좋아 뭐 할까 러닝? 자전거?
자전거 타자 한강 따라가면 시원할 거야
따릉이 빌려서 타면 되지 좋은 생각이야
그래 주말에 하자 아침 일찍 가면 사람도 적어
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야"
n_0016,일반 대화,"태풍 온다는데 괜찮을까?
뉴스 보니까 이번 건 약하대
다행이다 작년에 진짜 무서웠어
그때 나 창문 다 테이프 붙였잖아ㅋㅋ
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
요즘 뭐 재밌는 거 없나 심심해
넷플릭스 신작 봤어? 추천해줄까
뭔데 알려줘 볼 게 없어서 고민이었어
이번에 나온 스릴러 괜찮아 몰입감 미쳤어"
n_0017,일반 대화,"첫눈 왔다!!
진짜?? 어디?
우리 동네에 지금 눈 와
와 나도 보고 싶다 여기는 아직인데
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨
그래야겠다 환절기에 감기 걸리면 안 되니까
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야"
n_0018,일반 대화,"아 오늘 하루 왜 이리 긴지ㅠ
그니까 시계가 안 가
퇴근하면 뭐 할 거야?
집 가서 바로 누울 거야ㅋㅋ
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
이런 날씨에 운동하면 기분 좋은데 같이 할래?
좋아 뭐 할까 러닝? 자전거?
자전거 타자 한강 따라가면 시원할 거야
따릉이 빌려서 타면 되지 좋은 생각이야"
n_0019,일반 대화,"이번 주 토요일 날씨 좋대
오 그러면 등산 갈까?
등산은 좀ㅋㅋ 공원 산책 정도?
그래 올림픽공원 어때
우리 자주 만나자 이렇게 시간 보내는 거 좋아
맞아 바쁘다고 안 만나면 서먹해지잖아
다음 주에도 시간 내자 뭐라도 하면서
좋아 연락해 일정 맞춰보자
그래 기대할게 빨리 또 보자ㅋㅋ
내일 일찍 일어나야 하는데 벌써 걱정이야
알람 여러 개 맞춰놔 안 일어나면 큰일이잖아
맞아 3개는 맞춰놓고 자야겠다
그래도 잠은 충분히 자야 해 건강이 먼저야"
n_0020,일반 대화,"야 나 이사 가
헐 어디로?
마포구 쪽으로
오 거기 좋지 합정 근처야?
날씨가 이래서 뭐 입고 나갈지 고민이야
겉옷 하나 걸치면 돼 아침저녁엔 쌀쌀하니까
맞아 낮에는 따뜻한데 온도차가 크지
얇은 가디건이나 바람막이 챙겨
그래야겠다 환절기에 감기 걸리면 안 되니까
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ"
n_0021,일반 대화,"요즘 아침저녁 일교차 심하지
맞아 뭐 입고 나가야 할지 모르겠어
겉옷 하나 챙겨 다녀야 해
귀찮은데ㅋㅋ
이런 날씨에 운동하면 기분 좋은데 같이 할래?
좋아 뭐 할까 러닝? 자전거?
자전거 타자 한강 따라가면 시원할 거야
따릉이 빌려서 타면 되지 좋은 생각이야
그래 주말에 하자 아침 일찍 가면 사람도 적어
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자"
n_0022,일반 대화,"오늘 일찍 일어났더니 기분 좋다
몇 시에 일어났어?
6시에ㅋㅋ
와 대박 나 그 시간엔 깊은 잠인데
진짜 그렇지 요즘 같은 날씨가 딱 좋아
맞아 이런 날 밖에 안 나가면 아까워
산책이라도 하자 기분 전환 되잖아
좋아 한 30분만 돌고 오자
그래 동네 한 바퀴 돌면서 편의점 들르자
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야"
n_0023,일반 대화,"주말에 대청소 해야겠다
나도ㅠㅠ 집 너무 더러워
같이 하면 동기부여 될까?
아니 각자 집에서 해ㅋㅋ
우리 자주 만나자 이렇게 시간 보내는 거 좋아
맞아 바쁘다고 안 만나면 서먹해지잖아
다음 주에도 시간 내자 뭐라도 하면서
좋아 연락해 일정 맞춰보자
그래 기대할게 빨리 또 보자ㅋㅋ
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ"
n_0024,일반 대화,"가을 되니까 감성적이네
은행잎도 예쁘고
사진 찍으러 갈까?
경복궁 가자 한복 입고
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야"
n_0025,일반 대화,"오늘 노을 봤어?
아니 못 봤는데
인스타 올렸어 진짜 예뻐
나도 볼 걸 아쉽다ㅠ
집에서 이렇게 쉬는 것도 좋지 가끔은
맞아 매주 밖에만 나가면 피곤하잖아
집에서 영화 보면서 간식 먹는 게 최고야
오늘 그냥 쉬자 아무것도 안 하고
좋아 완전 게으른 하루 보내자ㅋㅋ
아 진짜 주말이 빨리 왔으면 좋겠다
나도 이번 주 너무 길어 힘들어
금요일까지만 버티자 곧이야
좋아 주말에 뭐 할지 계획 세우자
맛있는 거 먹으러 가자 그게 최고야"
